winner,loser
houston,jackson-state
houston,louisiana
houston,hofstra
houston,notre-dame
san-diego-state,houston
houston,butler
houston,troy
houston,toledo
houston,texas-a&m-corpus-christi
houston,oklahoma-state
houston,brigham-young
houston,tcu
houston,kansas-state
houston,west-virginia
houston,ucf
houston,utah
houston,kansas
houston,west-virginia
texas-tech,houston
houston,oklahoma-state
houston,colorado
houston,arizona-state
houston,texas-tech
houston,cincinnati
houston,kansas
opponent,houston
houston,colorado
houston,brigham-young
opponent,houston
southern-illinois-edwardsville,houston
